,gene,pval,qval,log2fc,mean
0,SLC27A6,0.0,0.0,-2.5402125366746144,0.06349976497123377
1,LINC02823,2.7200681545352123e-86,2.457672203559418e-85,-5.620685376431809,0.005920920513005582
2,PDE4B-AS1,1.8733711836465833e-31,7.772124220307286e-31,0.018891276574615302,0.04813095708526345
3,MDFIC2,1.0632131757760766e-79,8.789444222916049e-79,-1.0868580122349158,0.035417277274051175
4,AL591115.1,1.2825814701137457e-190,3.0696557270272575e-189,-2.785817851840812,0.1150086264415135
5,AC021915.1,2.228033727556961e-40,1.0647502958406539e-39,-0.6446107055917678,0.012132123087866596
6,AL118556.2,1.4757995835457044e-63,9.927774670243366e-63,-0.3932990638635557,0.0401696636983941
7,MIR4300HG,0.0,0.0,-2.7455519853822214,0.22807329763383913
8,AL392086.3,0.0,0.0,-1.2134217800360039,0.6337601230002967
9,LINC00326,8.355775386333404e-113,1.0283325380170393e-111,-3.105992829713621,0.045867738687393654
10,LINC00457,1.5286341879237436e-220,4.4461083838374405e-219,-5.411580330010209,0.019818632359976114
11,SORL1,0.0,0.0,-1.7208004077569865,0.43986089898501274
12,PCDH9-AS4,1.290742050778661e-38,6.012207043859235e-38,0.01964593282862098,0.17505681052932828
13,AC011997.2,3.138781446673899e-116,3.9904521415138105e-115,-0.44458985219701536,0.08089093073843923
14,PEX5L-AS2,1.0179322877949635e-125,1.4248808240104223e-124,-0.470765538983941,0.09652232929890044
15,AL589787.1,1.104182641172787e-52,6.349466796553807e-52,-0.1711363288521962,0.05377415984950101
16,TMEM178A,0.0,0.0,-3.253720444014712,0.14567419254198707
17,EPHB2,0.0,0.0,-1.4711456966863237,0.36976382926959517
18,TMEM163,0.0,0.0,-3.8843852771803404,0.12177357045008846
19,LGALS1,0.0,0.0,-3.883476177958825,0.39277529066988676
20,LINC02343,0.0,0.0,-6.96481408262588,0.16202140689301744
21,AFF3,0.0,0.0,-4.060992951409464,0.47914516037935456
22,TUBB2B,0.0,0.0,-3.9039225668444613,0.1843294952905338
23,ACTN2,0.0,0.0,-2.5569590165652514,0.7172762954400457
24,ADAMTS12,0.0,0.0,-6.276746185875935,0.08929189913010684
25,PRTG,0.0,0.0,-4.297998660352709,0.08916145269168246
26,RASGRF1,0.0,0.0,-3.5694408882430837,0.7789615528177295
27,DNAH14,0.0,0.0,-3.7547984311831946,0.09889488486506598
28,AC110809.1,0.0,0.0,-7.3477846724812705,0.0939448533594408
29,AL008633.1,1.3582762876153156e-205,3.5691753869461206e-204,-1.2641640841387425,0.17366523557416969
30,SMOC1,4.762039890408704e-298,2.0409813712525585e-296,-0.518670764618631,0.4511543579491473
31,SGCZ,0.0,0.0,-1.7749817018511607,1.0693496414388919
32,TRPM1,2.5764909331430357e-302,1.1181031609865142e-300,-1.0105930329184267,0.17604803522411178
33,LINC01792,0.0,0.0,2.507477800526613,0.4266415184459416
34,AC096719.1,1.8070367157740156e-48,9.734442661447978e-48,2.9731004342685523,0.027167668213320496
35,PLXDC2,0.0,0.0,3.675442272671166,2.30528587909887
36,AL158829.1,3.319028319044463e-11,9.361286328538909e-11,1.7758148367461701,0.009009699927811156
37,DYSF,0.0,0.0,4.355065403454787,0.20987883077080835
38,LRP4,0.0,0.0,3.8669818366949125,0.187367473539126
39,TRPC5,3.1489002365920104e-55,1.880849613021301e-54,1.4351372799066875,0.08339590899968338
40,PPFIA2-AS1,2.117118432888474e-96,2.166705520545706e-95,1.865738184580645,0.07683748873271261
41,HSD11B1,3.624708175312184e-56,2.192896648074704e-55,1.209366797223812,0.17061414250035553
42,IFNG-AS1,0.0,0.0,3.6956707546640506,0.16463006028029595
