,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC27A6,355.2585131,-2.474894289,0.178803955,-13.84138448,1.43E-43,1.37E-41
LINC02823,53.72758482,-5.036415844,0.711662264,-7.076974711,1.47E-12,3.03E-11
PDE4B-AS1,327.619024,-0.305366849,0.184920093,-1.651344883,0.098668172,0.257174717
MDFIC2,256.5020873,-1.712813771,0.20217501,-8.471936141,2.41E-17,7.07E-16
AL591115.1,1003.777599,-2.349817193,0.589801831,-3.984079177,6.77E-05,0.000537392
AC021915.1,101.5503628,-0.971697609,0.290321471,-3.346971226,0.000816997,0.004982667
AL118556.2,270.8876276,-0.698201504,0.203589269,-3.429461232,0.000604781,0.003838787
MIR4300HG,1492.489465,-2.895645388,0.309222332,-9.364282873,7.66E-21,2.77E-19
AL392086.3,3286.603185,-1.024928511,0.102298207,-10.01902716,1.26E-23,5.44E-22
LINC00326,653.3121057,-2.721689329,0.874638155,-3.111788932,0.001859574,0.010306208
LINC00457,174.9507956,-5.819906463,0.827081494,-7.036678378,1.97E-12,4.00E-11
SORL1,2291.418736,-1.618756255,0.100533531,-16.10165526,2.48E-58,3.79E-56
PCDH9-AS4,1129.476789,-0.115515764,0.151737342,-0.761287648,0.446485277,0.68358009
AC011997.2,540.1107288,-0.596142246,0.155760735,-3.827294761,0.000129559,0.000963113
PEX5L-AS2,661.1751949,-0.620049306,0.140791307,-4.404031188,1.06E-05,9.67E-05
AL589787.1,336.7487398,-0.487048101,0.175713356,-2.771833122,0.00557416,0.026524653
TMEM178A,837.3516162,-3.395686464,0.142052832,-23.90439116,2.76E-126,2.03E-123
EPHB2,1972.609879,-1.367716603,0.100710325,-13.58069892,5.21E-42,4.63E-40
TMEM163,781.3902172,-4.239338548,0.159397884,-26.59595248,7.56E-156,8.36E-153
LGALS1,2214.876594,-4.203704181,0.432551305,-9.718394412,2.52E-22,1.01E-20
LINC02343,1009.433223,-7.273656655,0.480157132,-15.14849239,7.75E-52,9.12E-50
AFF3,2714.726759,-4.354363159,0.284812894,-15.28850431,9.12E-53,1.11E-50
TUBB2B,1081.76692,-4.084384816,0.372634571,-10.96083168,5.90E-28,3.17E-26
ACTN2,3756.850438,-2.591064468,0.109470628,-23.66903814,7.52E-124,5.19E-121
ADAMTS12,524.1192057,-6.176186323,0.562419415,-10.98146003,4.69E-28,2.56E-26
PRTG,567.2843801,-4.551408902,0.20472738,-22.23155938,1.70E-109,8.55E-107
RASGRF1,4248.879277,-3.594530909,0.098944106,-36.32890387,5.66E-289,4.17E-285
DNAH14,580.3634431,-4.055079941,0.199885296,-20.28703469,1.67E-91,5.55E-89
AC110809.1,553.7216488,-7.856887947,0.800800781,-9.811289065,1.01E-22,4.12E-21
AL008633.1,732.4597806,-0.541263461,0.395462574,-1.368684415,0.171097944,0.379535288
SMOC1,2240.639288,-0.396220701,0.097449031,-4.065927547,4.78E-05,0.000389715
SGCZ,5757.917271,-1.812355112,0.462630316,-3.917501832,8.95E-05,0.000692589
TRPM1,774.9924934,-0.675874971,0.146385391,-4.617093044,3.89E-06,3.80E-05
LINC01792,2262.636708,2.865676421,0.112392232,25.49710403,2.12E-143,1.96E-140
AC096719.1,164.6714167,2.580010983,0.29034978,8.885872001,6.34E-19,2.06E-17
PLXDC2,12438.73595,3.882075753,0.109629423,35.41089285,1.16E-274,5.13E-271
AL158829.1,57.04993542,2.03583658,0.358032552,5.686177326,1.30E-08,1.81E-07
DYSF,1159.724994,4.611424575,0.159234151,28.9600223,2.10E-184,3.57E-181
LRP4,970.3739434,3.926106191,0.373224964,10.51940939,7.03E-26,3.36E-24
TRPC5,434.5784194,1.477837109,0.151049192,9.783813405,1.32E-22,5.39E-21
PPFIA2-AS1,434.3196823,1.810864923,0.165419693,10.94709397,6.86E-28,3.68E-26
HSD11B1,929.4005965,1.218492552,0.119047352,10.23536036,1.38E-24,6.24E-23
IFNG-AS1,865.8024232,3.988664798,0.13334933,29.91139729,1.40E-196,2.81E-193
FCHSD2,10255.63286,4.840350176,0.111708259,43.33028015,0,0
ARRB1,594.7285549,3.282577345,0.143279456,22.91031416,3.67E-116,2.19E-113
CTNNA2,11616.13163,1.616671718,0.266793512,6.059636556,1.36E-09,2.13E-08
TMEM132C,1916.627383,2.423204598,0.103000416,23.52616312,2.20E-122,1.43E-119
AL356124.1,91.08621268,3.708358753,0.828477699,4.476111738,7.60E-06,7.07E-05
ITM2A,1443.122008,3.513805003,0.132243925,26.57063465,1.48E-155,1.56E-152
LAMA2,6212.958468,5.475997472,0.344925317,15.87589315,9.31E-57,1.31E-54
AC093535.1,754.4049822,0.78217145,0.15447242,5.063502263,4.12E-07,4.70E-06
SVEP1,2894.342809,2.858613731,0.299746757,9.536762826,1.47E-21,5.64E-20
STARD13-AS,1070.863794,1.042066339,0.118138059,8.820750429,1.14E-18,3.61E-17
AC138360.1,38.57486927,2.215644252,0.453166748,4.889247201,1.01E-06,1.09E-05
SLC38A1,1450.074064,1.63668067,0.110849071,14.76494705,2.47E-49,2.72E-47
AC016716.1,166.4413191,1.489690867,0.264077359,5.641115444,1.69E-08,2.33E-07
ARHGAP24,333.3196615,1.608808968,0.192926655,8.338966773,7.49E-17,2.12E-15
GABRB1,459.255032,2.256202497,0.15878213,14.20942327,8.01E-46,8.31E-44
ETV5,1043.58035,0.042453758,0.31319381,0.135551075,0.892176185,0.955862908
PLEKHH2,671.1795439,0.72167019,0.125723313,5.740146138,9.46E-09,1.33E-07
ROR1,1512.981961,3.763193342,0.123299397,30.52077659,1.38E-204,3.39E-201
CRB2,532.6500617,4.32579669,0.188294323,22.97359065,8.56E-117,5.26E-114
TRHDE,173.2124552,3.763759037,0.295086501,12.75476522,2.93E-37,2.27E-35
LINC00463,148.4026868,4.80677246,0.309220525,15.54480404,1.73E-54,2.26E-52
PDGFD,88.2236055,4.805220973,1.487723085,3.229916253,0.001238265,0.007202973
LRRC7,4811.696141,2.795734056,0.303170255,9.221663424,2.93E-20,1.02E-18
ATRNL1,305.4255705,1.579371311,0.171175645,9.226612275,2.79E-20,9.79E-19
RALYL,448.0471115,1.416567432,0.145695036,9.722825654,2.41E-22,9.74E-21
ZFPM2,639.7984425,2.406130596,0.150407675,15.99739239,1.33E-57,1.96E-55
SFRP1,295.5558528,4.353688607,0.224864433,19.36139273,1.63E-83,4.30E-81
FRY,1458.847456,4.167732226,0.124502182,33.47517419,1.11E-245,3.50E-242
EGFEM1P,404.2410062,3.356451176,0.630625565,5.322415333,1.02E-07,1.28E-06
LUZP2,533.0377972,0.132104436,0.422370899,0.312768792,0.754456327,0.890619419
CNTN1,798.5731644,2.863821631,0.138966324,20.60802614,2.33E-94,8.57E-92
PCDH11X,124.0376598,1.575829404,0.247464066,6.367912043,1.92E-10,3.24E-09
RRAS2,114.9618515,1.305527652,0.238061716,5.483988243,4.16E-08,5.50E-07
PIP5K1B,120.5835281,0.984539966,0.302862071,3.250786607,0.001150862,0.006757837
PCDH7,553.262583,2.724783912,0.139103166,19.58822361,1.95E-85,5.45E-83
CNKSR2,137.5612454,1.951018752,0.231522109,8.426921992,3.55E-17,1.02E-15
PAK5,262.7073442,2.758995484,0.206212159,13.37940251,7.98E-41,6.89E-39
PYGO1,92.95682139,-2.510351738,0.302390306,-8.301693834,1.03E-16,2.87E-15
LRRC8E,2.144185307,-0.573854513,1.712178189,-0.335160509,0.73750401,NA
XKR6,1774.011636,-1.752750015,0.288187913,-6.081969223,1.19E-09,1.87E-08
TSNARE1,579.4181566,0.29115399,0.130652673,2.22845796,0.025849992,0.092759555
FPR2,2.050788391,-0.507506117,1.634334952,-0.310527604,0.756159771,NA
RRM1,325.0811966,0.498224923,0.15424623,3.230062233,0.001237633,0.007202312
PRRC1,618.790183,-0.242647625,0.133749669,-1.814192334,0.06964812,0.200964425
PAQR3,524.9416605,-0.237447101,0.132559859,-1.791244368,0.073254089,0.207956154
ENPP6,2465.909499,-2.073380776,0.105387633,-19.67385284,3.61E-86,1.02E-83
RICTOR,8287.913326,0.003084003,0.093481696,0.032990448,0.973682205,0.989065524
STARD4,368.7154439,-0.282913473,0.15135453,-1.869210473,0.061593538,0.182976342
PGGT1B,931.3480721,-0.147137616,0.111230716,-1.322814608,0.185897038,0.400566444
CCDC112,1474.641783,-0.255334142,0.102906691,-2.481220028,0.013093352,0.054075814
OR4D5,0,NA,NA,NA,NA,NA
TBC1D16,212.306634,0.051800671,0.184213858,0.281198559,0.77855811,0.903488672
AGGF1,56.10625842,-0.538426975,0.330870855,-1.627302514,0.103672864,0.266480605
NDUFS4,2002.851832,-0.269629519,0.104920497,-2.569846004,0.010174373,0.04389833
HTR4,172.1057532,0.368643725,0.201961788,1.825314232,0.067953624,0.197491615
ESM1,1.08694603,2.381721445,2.568115702,0.927419836,0.353708595,NA
TMEM174,0,NA,NA,NA,NA,NA
ERAP2,171.0573424,-0.598798624,0.199233716,-3.005508486,0.002651372,0.014023094
ERAP1,748.7131391,-0.222759177,0.124939988,-1.782929389,0.074597798,0.210492422
DUS2,206.0639835,-0.262133394,0.186616788,-1.404661378,0.160121996,0.36270257
PRIMPOL,926.6488721,-0.06151198,0.1107865,-0.555229923,0.578737404,0.786103295
SERINC5,6275.278755,0.215052344,0.086812509,2.477204574,0.013241598,0.054484506
GPX8,0.716563054,1.548782039,2.969885736,0.521495497,0.602021641,NA
DDI1,0,NA,NA,NA,NA,NA
RHOBTB3,1719.400804,0.537312343,0.098676238,5.445204957,5.17E-08,6.76E-07
ARSK,237.4499995,0.282907859,0.173195377,1.633460797,0.102372119,0.264307108
GRPEL2,88.80866097,0.16836457,0.261287367,0.644365521,0.519338437,0.742180619
WDR41,2025.668039,-0.135036381,0.098010658,-1.377772418,0.168273564,0.37532203
PLAC1,11.79805785,-0.502404926,0.700460775,-0.717249194,0.47322035,0.706232908
PLA2G1B,0.309443884,0.658044157,4.07485128,0.161489122,0.871708178,NA
CEACAM3,0.641132796,0.680121244,2.915528452,0.233275461,0.815547512,NA
CELP,0.78782543,-0.549773888,2.801716279,-0.196227538,0.844432075,NA
PATE1,0.251310662,1.556898051,4.068403913,0.382680305,0.701956819,NA
FEZ2,2174.538297,0.266026375,0.095425896,2.787779694,0.005307062,0.025406784
LURAP1,708.8708805,-1.335098237,0.124812674,-10.6968162,1.05E-26,5.29E-25
KRT15,0.659553066,-0.513491604,3.023128028,-0.169854402,0.865124642,NA
ESCO2,15.74290814,-0.142390332,0.609296234,-0.233696393,0.815220688,0.921718442
CHD7,7336.367782,0.283679201,0.084436247,3.359685105,0.000780314,0.004786674
CHST11,81.85289829,0.71038137,0.282824189,2.511741911,0.012013691,0.050350463
TENT2,5527.403032,-0.020727388,0.087775432,-0.236141114,0.813323172,0.920788921
ZDHHC16,218.4795932,-0.060109357,0.180511954,-0.332993778,0.73913898,0.882241905
ZNF439,907.2603713,-0.012907705,0.114377798,-0.112851493,0.910148293,0.962892208
FPR1,5.929907552,0.025991883,0.945245473,0.027497496,0.978062937,0.990750989
USP32,6953.513465,0.185849896,0.085704572,2.168494523,0.030121081,0.105067349
PPM1D,1188.535109,0.278169929,0.10679846,2.604624915,0.009197489,0.040368886
DCDC1,116.389845,-0.698700607,0.264083134,-2.645760057,0.008150761,0.036433191
AC093323.1,174.779534,0.205427759,0.201128174,1.021377337,0.307075698,0.551038305
LILRP2,0,NA,NA,NA,NA,NA
KIAA0232,3886.825764,-0.14888276,0.08892622,-1.674227922,0.094085814,0.248482759
MTSS1,4835.4573,-0.182891118,0.091655869,-1.995410877,0.045998086,0.146933344
TMEM43,159.3305317,0.343257393,0.213055379,1.611118173,0.107153968,0.272984333
TRH,4.146183199,1.093449784,1.138869623,0.960118491,0.336995583,NA
NUDT6,283.8899627,-0.289097192,0.162681692,-1.777072693,0.07555628,0.212302777
TPT1-AS1,2651.01628,-0.030119304,0.094264818,-0.319517977,0.749333761,0.88825246
OR7G3,0,NA,NA,NA,NA,NA
TANC2,9182.148267,-0.979761669,0.085782436,-11.42147177,3.27E-30,1.93E-28
TEX13B,0,NA,NA,NA,NA,NA
PKHD1,10.0652662,0.176407092,0.737179431,0.239300074,0.810872908,0.919685943
ZNF160,974.6225503,-0.026914655,0.124440947,-0.21628456,0.828765944,0.928231293
PGK2,0,NA,NA,NA,NA,NA
ZNF415,263.8611687,0.174694753,0.182442572,0.957532835,0.338298381,0.583894185
RIOX2,375.7591426,0.031040151,0.150225161,0.206624184,0.836303372,0.931300089
