,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HES5,1406.628465,-2.962919214,0.103966141,-28.49888624,1.21E-178,8.61E-175
GPC5,10309.56519,-3.534759344,0.229191076,-15.42276169,1.15E-53,5.12E-51
ZNF736P9Y,107.0362764,-7.33634956,1.250557253,-5.866464363,4.45E-09,1.36E-07
APOE,959.7663623,-1.879907725,0.109257658,-17.20618735,2.39E-66,1.50E-63
LRRC3B,1004.427726,-3.445727885,0.116791776,-29.50317216,2.62E-191,2.80E-187
LINC01965,1757.635142,-2.794061494,0.113401207,-24.63872808,4.86E-134,1.73E-130
MIR3681HG,8119.496882,-1.359699888,0.073482932,-18.503615,1.93E-76,1.59E-73
GPNMB,1420.175381,-4.136794117,0.543346551,-7.613546289,2.67E-14,1.45E-12
AL356737.2,248.3386451,-3.266879712,0.241229774,-13.54260567,8.76E-42,2.79E-39
SEMA6D,2694.050282,-2.635606532,0.199397728,-13.21783632,6.92E-40,1.97E-37
FOXG1-AS1,257.3384919,-4.876640246,0.268844235,-18.13927775,1.56E-73,1.23E-70
AC117464.1,1672.122423,-2.096470207,0.261028723,-8.031569034,9.62E-16,6.17E-14
AC124854.1,1368.775273,-1.127709055,0.269153184,-4.189841031,2.79E-05,0.000425803
L3MBTL4,4349.265534,-2.157619822,0.091396624,-23.6072157,3.25E-123,9.91E-120
NELL1,6686.975098,-3.546533796,0.331568778,-10.69622362,1.06E-26,1.53E-24
PTH2R,802.3427028,-2.996431155,0.129984626,-23.05219666,1.40E-117,3.32E-114
NDST4,225.5078966,-1.239634589,0.559507044,-2.215583525,0.026720038,0.146098106
LDB2,1885.035243,-3.570593965,0.264870933,-13.4805051,2.04E-41,6.40E-39
KCNB2,702.5646847,-3.114283098,0.413967797,-7.523008114,5.35E-14,2.82E-12
CNTN5,6490.662499,-3.315101454,0.091906102,-36.07052603,6.58E-285,1.40E-280
EBF1,1391.259321,4.619594618,0.452232605,10.21508526,1.70E-24,2.14E-22
PAX3,1567.43157,5.546297942,0.798444475,6.946379007,3.75E-12,1.68E-10
AC092958.1,548.9387978,3.262036993,0.142149409,22.94794627,1.54E-116,3.30E-113
CRNDE,1453.498996,4.235714354,0.513620495,8.246778301,1.63E-16,1.13E-14
MAML3,754.5436301,2.868824921,0.127695663,22.46611082,8.91E-112,1.73E-108
